Find,Replace
undefined,spp.
species,spp.
xx,x
bedrock unsuitable,vacant
broadleaf deciduous,missing
conifer evergreen,missing
other sylvatica,sylvatica spp.
other,missing
unknown spp.,missing
vacant spp.,vacant
tbd,vacant
missing large,vacant
missing small,vacant
missing spp.,vacant
stump retained,stump
stump species,stump
wildlife snag,dead
to be determined,missing
deodora,deodara
occidenatlis,occidentalis
cercidiphylum,cercidiphyllum
japonicus,japonicum
nutallii,nuttallii
nuttalli,nuttallii
tilia tormentosa,tilia tomentosa
tilia to be determined,tilia spp.
ulmus to be determined,ulmus spp.
ulmus missing,ulmus spp.
tilia missing,tilia spp.
corylus 'cornuta',corylus cornuta
corylus avellena,corylus avellana
corylus contorta,corylus avellana 'contorta'
corylus columa,corylus colurna
trachycarpus fortuneii,trachycarpus fortunei
ulmus davidii,ulmus davidiana
paper bark maple,acer griseum
royal crown,missing
chamacyparis,chamaecyparis
acre,acer
acer tartaricum,acer tataricum
acer saccharam,acer saccharum
gingko,ginkgo
flowering cherry,Prunus spp.
biloga,biloba
catalpa bignoniodes,catalpa bignonioides
gymnocladus diocia,gymnocladus dioicus
gymnocladus dioca,gymnocladus dioicus
salix babilonica,salix babylonica
malus spp,malus spp.
malus ssp,malus spp.
larix siberica,larix sibirica
juglans cinera,juglans cinerea
lagerstroemimia indica,lagerstroemia indica
scadiopitys verticillata,sciadopitys verticillata
scadiopystis verticillata,sciadopitys verticillata
sorbus aucaparia,sorbus aucuparia
sorbus tianshanica,sorbus tianschanica
spp. spp.,missing
stewartia pseudo-camellia,stewartia pseudocamellia
stump for,stump
stump spp.,stump
picea englemannii,picea engelmannii
syringa pekinesis,syringa pekinensis
syringa reticlata,syringa reticulata
syringa reticulate,syringa reticulata
prunus pennsylvanica,prunus pensylvanica
not available,missing
styrax japonica,styrax japonicus
styrax japonicum,styrax japonicus
sephora japonica,sophora japonica
pyrus usseriensis,pyrus ussuriensis
sequoidendron giganteum,sequoiadendron giganteum
sequiadendron giganteum,sequoiadendron giganteum
sequoia semppervirens,sequoia sempervirens
sequoia semprevirens,sequoia sempervirens
prunus virginianna,prunus virginiana
quercus accutissima,quercus acutissima
phellodendon amurense,phellodendron amurense
pyrusÂ 'ure',pyrus 'ure'
picea sitkensis,picea sitchensis
pinus missing,pinus spp.
populus balamifera,populus balsamifera
pinus sylverstris,pinus sylvestris
pinus thunbergiana,pinus thunbergii
missing planting,vacant
private tree,vacant
prunus (cherry),prunus
prunus (plum),prunus
prunus â€˜pembinaâ€™,prunus pembina
pistachia chinensis,pistacia chinensis
platanus Ã—,platanus -
metasequoia glyptostroboid,metasequoia glyptostroboides
metasequoia glytostroboides,metasequoia glyptostroboides
metasequoia gymnostroboides,metasequoia glyptostroboides
princeton sentry,ginkgo biloba 'princeton sentry'
prunus blieriana,prunus blireana
prunus ceresifera,prunus cerasifera
paulownia tomemtosa,paulownia tomentosa
paulownia tormentosa,paulownia tomentosa
oxydendron arboreum,oxydendrum arboreum
nothofagus antartica,nothofagus antarctica
unknown,missing
