plant_name_id,taxon_rank,family,genus_hybrid,genus,species_hybrid,species,taxon_name,Province,introduced
126,Genus,Euphorbiaceae,,Acalypha,,,Acalypha,NBR,0
126,Genus,Euphorbiaceae,,Acalypha,,,Acalypha,NSC,0
126,Genus,Euphorbiaceae,,Acalypha,,,Acalypha,ONT,0
126,Genus,Euphorbiaceae,,Acalypha,,,Acalypha,QUE,0
1121,Species,Euphorbiaceae,,Acalypha,,rhomboidea,Acalypha rhomboidea,NBR,0
1121,Species,Euphorbiaceae,,Acalypha,,rhomboidea,Acalypha rhomboidea,NSC,0
1121,Species,Euphorbiaceae,,Acalypha,,rhomboidea,Acalypha rhomboidea,ONT,0
1121,Species,Euphorbiaceae,,Acalypha,,rhomboidea,Acalypha rhomboidea,QUE,0
2295,Genus,Acoraceae,,Acorus,,,Acorus,ABT,0
2295,Genus,Acoraceae,,Acorus,,,Acorus,BRC,0
2295,Genus,Acoraceae,,Acorus,,,Acorus,MAN,0
2295,Genus,Acoraceae,,Acorus,,,Acorus,SAS,0
2295,Genus,Acoraceae,,Acorus,,,Acorus,NBR,0
2295,Genus,Acoraceae,,Acorus,,,Acorus,NFL,0
2295,Genus,Acoraceae,,Acorus,,,Acorus,NSC,0
2295,Genus,Acoraceae,,Acorus,,,Acorus,ONT,0
2295,Genus,Acoraceae,,Acorus,,,Acorus,PEI,0
2295,Genus,Acoraceae,,Acorus,,,Acorus,QUE,0
2304,Species,Acoraceae,,Acorus,,calamus,Acorus calamus,ABT,0
2304,Species,Acoraceae,,Acorus,,calamus,Acorus calamus,BRC,0
2304,Species,Acoraceae,,Acorus,,calamus,Acorus calamus,MAN,0
2304,Species,Acoraceae,,Acorus,,calamus,Acorus calamus,SAS,0
2304,Species,Acoraceae,,Acorus,,calamus,Acorus calamus,NBR,0
2304,Species,Acoraceae,,Acorus,,calamus,Acorus calamus,NFL,0
2304,Species,Acoraceae,,Acorus,,calamus,Acorus calamus,NSC,0
2304,Species,Acoraceae,,Acorus,,calamus,Acorus calamus,ONT,0
2304,Species,Acoraceae,,Acorus,,calamus,Acorus calamus,PEI,0
2304,Species,Acoraceae,,Acorus,,calamus,Acorus calamus,QUE,0
2305,Variety,Acoraceae,,Acorus,,calamus,Acorus calamus var. americanus,ABT,0
2305,Variety,Acoraceae,,Acorus,,calamus,Acorus calamus var. americanus,BRC,0
2305,Variety,Acoraceae,,Acorus,,calamus,Acorus calamus var. americanus,MAN,0
2305,Variety,Acoraceae,,Acorus,,calamus,Acorus calamus var. americanus,SAS,0
2305,Variety,Acoraceae,,Acorus,,calamus,Acorus calamus var. americanus,NBR,0
2305,Variety,Acoraceae,,Acorus,,calamus,Acorus calamus var. americanus,NFL,0
2305,Variety,Acoraceae,,Acorus,,calamus,Acorus calamus var. americanus,NSC,0
2305,Variety,Acoraceae,,Acorus,,calamus,Acorus calamus var. americanus,ONT,0
2305,Variety,Acoraceae,,Acorus,,calamus,Acorus calamus var. americanus,PEI,0
2305,Variety,Acoraceae,,Acorus,,calamus,Acorus calamus var. americanus,QUE,0
2309,Variety,Acoraceae,,Acorus,,calamus,Acorus calamus var. calamus,NBR,1
2309,Variety,Acoraceae,,Acorus,,calamus,Acorus calamus var. calamus,NSC,1
2309,Variety,Acoraceae,,Acorus,,calamus,Acorus calamus var. calamus,ONT,1
2309,Variety,Acoraceae,,Acorus,,calamus,Acorus calamus var. calamus,QUE,1
4441,Genus,Lamiaceae,,Agastache,,,Agastache,ABT,0
4441,Genus,Lamiaceae,,Agastache,,,Agastache,BRC,0
4441,Genus,Lamiaceae,,Agastache,,,Agastache,MAN,0
4441,Genus,Lamiaceae,,Agastache,,,Agastache,SAS,0
4441,Genus,Lamiaceae,,Agastache,,,Agastache,NBR,0
4441,Genus,Lamiaceae,,Agastache,,,Agastache,ONT,0
4441,Genus,Lamiaceae,,Agastache,,,Agastache,QUE,0
4454,Species,Lamiaceae,,Agastache,,foeniculum,Agastache foeniculum,ABT,0
4454,Species,Lamiaceae,,Agastache,,foeniculum,Agastache foeniculum,BRC,0
