code,common name,botanical name
ALEUOO,european alder,Alnus glutiosa
ALOOOO,alder spp.,Alnus spp.
ALSPOO,speckled alder,Alnus incana
AMFLST,flowering almond,Prunus glandulosa
APCRFL,apple crab flowering,Malus spp.
APCRPR,apple crab  'profusion',Malus × moerlandsii 'Profusion'
APCRRO,apple crab  'royalty',Malus 'Royalty'
APOOOO,apple spp.,Malus spp.
ASBLOO,black ash,Fraxinus nigra
ASBUOO,blue ash,Fraxinus quadrangulata
ASEUOO,european ash,Fraxinus excelsior
ASGROO,green ash,Fraxinus pennsylvanica
ASOOOO,ash spp.,Fraxinus spp.
ASWHEM,white ash 'empire',Fraxinus americana 'Empire'
ASWHOO,white ash,Fraxinus americana
BAFAOO,false cypress spp.,Chamaecyparis spp.
BAOOOO,bald cypress,Taxodium distichum
BEAMOO,american beech,Fraxinus grandifolia
BECOOO,european beech 'copper',Fagus sylvatica 'Copper'
BEEUCU,european beech 'asplenifolia',Fagus sylvatica 'Asplenifolia'
BEEUOO,european beech,Fagus sylvatica
BEEUTR,european beech 'tricolor',Fagus sylvatica 'Tricolor'
BEPYOO,european beech 'fastigiata',Fagus sylvatica 'Fastigiata'
BEWEOO,european beech 'weeping',Fagus sylvatica 'Weeping'
BIEUOO,european white birch,Betula pendula
BIRVOO,river birch,Betula nigra
BISWOO,sweet birch,Betula lenta
BIWHOO,white birch,Betula papyrifera
BIYEOO,yellow birch,Betula alleghaniensis
BTOOOO,european buckthorn,Rhamnus cathartica
BUOHOO,ohio buckeye,Aesculus glabra
BUYELLO,yellow buckeye,Aesculus flava
CACHOO,chinese catalpa,Catalpa ovata
CAMOOO,catalpa mop head,Catalpa bignonioides 'nana'
CANOOO,northern catalpa,Catalpa speciosa
CARYOO,pecan,Carya illinoinensis
CASOOO,southern catalpa,Catalpa bignonioides
CEEAOO,eastern white cedar,Thuja occidentalis
CEMIOO,cedar spp.,Thuja spp.
CHAMOO,american chestnut,Castanea dentata
CHCHOO,chinese chestnut,Castanea mollissima
CHHOOO,horsechestnut,Aesculus hippocastanum
CHHORU,ruby red horsechestnut,Aesculus × carnea 'Briotii'
CKAMOO,amur corktree,Phellodendron amurense
COKEES,kentucky coffeetree 'espresso',Gymnocladus dioicus 'Espresso'
COKEOO,kentucky coffeetree,Gymnocladus dioicus
CUOOOO,cucumber tree,Magnolia acuminata
CYBLOO,black cherry,Prunus serotina
CYCHOO,choke cherry,Prunus virginiana
CYCHSC,choke cherry 'schubert',Prunus virginiana 'Schubert'
CYFLOO,flowering cherry,Prunus serrulata
CYJAKW,flowering cherry 'kwanzan',Prunus serrulata 'Kwanzan'
CYOOOO,cherry spp.,Prunus spp.
